feature_id,output_score,rank,prob,chunk,top_tokens_ids,output_scores_path,top_tokens_str,cluster
806,0.0,34724,0.0,chunk_0002,"[192923, 80583, 228911, 69543, 90052, 145334, 159722, 211077, 210106, 116192]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],0
804,0.0,33442,0.0,chunk_0002,"[133354, 4192, 133033, 146544, 87145, 172909, 89849, 30430, 131895, 15985]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],1
731,0.0,32614,0.0,chunk_0002,"[157911, 98266, 220682, 17573, 145609, 85316, 229098, 103243, 225222, 98220]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],2
719,0.0,29329,0.0,chunk_0002,"[186931, 41385, 133102, 234323, 183157, 32163, 46113, 54961, 214084, 17772]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],3
798,0.0,32160,0.0,chunk_0002,"[125990, 119569, 186931, 148118, 161479, 13406, 150914, 230554, 22531, 116063]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],4
645,0.0,33442,0.0,chunk_0002,"[24843, 61266, 5893, 7950, 65535, 22298, 125269, 122909, 21176, 129201]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],5
461,0.0,32961,0.0,chunk_0002,"[158059, 41436, 215685, 133980, 83462, 178150, 71671, 82135, 231962, 25543]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],6
440,0.0,29142,0.0,chunk_0002,"[144411, 156419, 43280, 151633, 82878, 4250, 172278, 96580, 173655, 203219]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],7
30,0.0,33593,0.0,chunk_0002,"[133697, 73529, 12590, 49322, 142026, 9438, 147484, 81159, 126655, 104114]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],8
753,0.0,37167,0.0,chunk_0002,"[222423, 168282, 126513, 191270, 133012, 21680, 172436, 233807, 198165, 96651]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],9
425,0.0,35503,0.0,chunk_0002,"[230179, 150604, 86434, 205471, 106237, 79514, 201517, 82604, 81159, 186026]",experiments/clar_vocab2/gemma-2-9b-it/layer_20/reason_scores/chunk_0002/output_scores/topk_50/output_scores.json,[],10
