cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
0,we / tramit / they,"we, tramit, they, there, solutions, softshell, should, proposed",5,0.052492444680165506,0.24218560791015625,557,0.24218560791015625,"clar_vocab2,combined,question"," it,  there,  they,  if,  we","[557, 439, 791]"
5,<bos> / expandindo / betweenstory,"<bos>, expandindo, betweenstory, GEBURTSDATUM, Autoritní, ftu, fta, effe",4,0.7447481067173648,0.99999609375,492,0.99999609375,clar_vocab2,"<bos>, GEBURTSDATUM, expandindo,  betweenstory, Autoritní","[492, 505, 103]"
1,Și / uniform / therefore,"Și, uniform, therefore, strict, rigid, precision, polski, pentru",4,0.0001316554810618982,0.0005261485576629639,688,0.0005261485576629639,"clar_vocab2,combined,question"," strict,  rigid,  precision,  uniform,  disciplined","[688, 257, 133]"
16,iphone / immigration / iPhone,"iphone, immigration, iPhone, drone, Immigration, Drone, voters, vote",4,6.162937445333228e-05,0.00015149615611881017,285,0.00015149615611881017,clar_vocab2," immigration, Immigration,  Immigration, immigration,  immigrants","[285, 451, 575]"
10,unlaw / unwarran / unden,"unlaw, unwarran, unden, sophistic, shewn, scrat, reluct, quæ",4,8.120294660329818e-07,2.5731492787599565e-06,560,2.5731492787599565e-06,"combined,question"," impra,  affor,  unden,  scrat,  unlaw","[560, 675, 428]"
3,your / youre / you,"your, youre, you, vainly, please, impelled, intersper, unspeak",3,0.12052176438310806,0.36132671356201174,231,0.36132671356201174,"combined,question"," you,  your,  please,  youre, your","[231, 336, 379]"
9,wasn / was / seemed,"wasn, was, seemed, ropoda, resulted, reflects, dAtA, WireFormatLite",3,0.002100562346633524,0.0062747602909803395,538,0.0062747602909803395,"combined,question"," wasn,  seemed,  was,  resulted,  reflects","[538, 80, 408]"
7,options / providers / only,"options, providers, only, ones, one, none, most, includes",3,0.0004960221337775389,0.0008619026839733123,375,0.0008619026839733123,"clar_vocab2,combined,question"," none,  only,  most,  ones,  one","[375, 700, 165]"
14,talento / person / horrend,"talento, person, horrend, hoody, hero, embodiment, Mónica, Haci",3,0.0002524171942689766,0.0007570547237992286,811,0.0007570547237992286,clar_vocab2," person, <bos>,  embodiment,  talento,  hero","[811, 79, 744]"
8,video / protection / videos,"video, protection, videos, security, removals, removal, protections, privacy",3,9.775627326841157e-06,2.166700758971274e-05,41,2.166700758971274e-05,"clar_vocab2,combined,question"," censorship,  deletion,  deleting,  removals,  removal","[41, 162, 135]"
2,physical / dum / Physical,"physical, dum, Physical, um, Pum, PHYSICAL, Dum",2,0.48681455331179313,0.9736290092468262,432,0.9736290092468262,clar_vocab2," physical, physical, Physical,  Physical,  PHYSICAL","[432, 349]"
13,men / Minnesota / Men,"men, Minnesota, Men, Minneapolis, Minn, MINNESOTA, MEN",2,0.0007910803481936455,0.0010822047106921672,802,0.0010822047106921672,clar_vocab2," Minnesota, Minnesota,  Minneapolis,  MINNESOTA,  Minn","[802, 724]"
18,sp / side / Sp,"sp, side, Sp, Side, SP, SIDE",2,0.00012547813868150115,0.0002503107087686658,709,0.0002503107087686658,"clar_vocab2,combined,question"," Sp, Sp,  sp, sp,  SP","[709, 125]"
6,welcome / new / New,"welcome, new, New, welcomed, Welcome, WELCOME, NEW",2,0.00011023652006406337,0.00022018033824861049,261,0.00022018033824861049,"clar_vocab2,combined,question"," welcome, welcome,  Welcome,  welcomed,  WELCOME","[261, 68]"
21,construction / Construction / consensus,"construction, Construction, consensus, Consent, Consensus, Cons, CONSTRUCTION, CONS",2,8.117893699090929e-05,0.00015447617135941983,555,0.00015447617135941983,"clar_vocab2,combined,question"," construction,  Construction, construction,  CONSTRUCTION, Construction","[555, 669]"
4,yourself / personally / ever,"yourself, personally, ever, bootstrapcdn, SourceChecksum, EVER, CreateTagHelper, your",2,1.0368201998062431e-05,1.3828044990077614e-05,210,1.3828044990077614e-05,"clar_vocab2,combined,question"," yourself, Билгалдахарш,  your,  personally, สึก","[210, 397]"
11,spaces / rooftop / locations,"spaces, rooftop, locations, heights, height, facilities, climbing, amenities",2,5.270480294711888e-06,6.0994341038167474e-06,160,6.0994341038167474e-06,"clar_vocab2,combined,question"," facilities,  amenities,  సౌకర్య,  locations,  spaces","[160, 530]"
12,maneu / inappro / encomp,"maneu, inappro, encomp, embodi, depic, snoopy, disreg, hairc",2,7.207214366644621e-08,9.732414036989212e-08,284,9.732414036989212e-08,"clar_vocab2,combined,question"," disreg,  encomp,  embodi,  maneu,  inappro","[284, 3]"
15,</em>,</em>,1,0.03579600048065185,0.03579600048065185,320,0.03579600048065185,"combined,question","”, "", "":, </em>, "",",[320]
20,waiting / unused / idle,"waiting, unused, idle, awaiting",1,3.584007848985493e-05,3.584007848985493e-05,621,3.584007848985493e-05,"clar_vocab2,combined,question"," waiting,  awaiting,  idle, waiting,  unused",[621]
19,director / Director / directors,"director, Director, directors",1,2.625191956758499e-05,2.625191956758499e-05,753,2.625191956758499e-05,"clar_vocab2,combined,question"," director,  Director, director,  directors, Director",[753]
17,unlaw / disagre / apprehen,"unlaw, disagre, apprehen, intersper, shenan",1,4.70341183245182e-08,4.70341183245182e-08,410,4.70341183245182e-08,"clar_vocab2,combined,question"," shenan,  unlaw,  apprehen,  intersper,  disagre",[410]
