cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
0,werb / WebServlet / Two,"werb, WebServlet, Two, DeltaTime, An",2,0.00048367372620850804,0.0005901283957064152,218,0.0005901283957064152,clar_vocab2,"

, 볍, WebServlet, werb, DeltaTime","[218, 488]"
1,goal / Wish / Goal,"goal, Wish, Goal, wish, dream, WISH, GOAL",2,9.286366403102875e-07,9.294897317886353e-07,455,9.294897317886353e-07,question,"goal, Goal,  goal,  Goal,  GOAL","[455, 131]"
36,because,because,1,0.9916953449249267,0.9916953449249267,771,0.9916953449249267,"clar_vocab2,combined,question","., ,, ;,  because, ..",[771]
47,verhe / represents / is,"verhe, represents, is, defaultstate",1,0.11688141107559204,0.11688141107559204,232,0.11688141107559204,question," is, 帖最后由,  represents,  defaultstate,  verhe",[232]
31,both / begge / ambos,"both, begge, ambos, Both",1,0.02676307964324951,0.02676307964324951,344,0.02676307964324951,clar_vocab2," both,  begge, Both,  ambos, both",[344]
33,par / far / core,"par, far, core",1,0.006793524667620659,0.006793524667620659,359,0.006793524667620659,combined," ,  far, core, ::,  par",[359]
48,Ready / Private / Practice,"Ready, Private, Practice, John",1,0.006137344405055046,0.006137344405055046,527,0.006137344405055046,"clar_vocab2,combined,question"," ,  Ready,  Private,  Practice,  John",[527]
39,simple / tiny / semplici,"simple, tiny, semplici, piccoli",1,0.0016523818820714951,0.0016523818820714951,711,0.0016523818820714951,"combined,question"," simple,  tiny, simple,  piccoli,  semplici",[711]
29,global / worldwide / weltweit,"global, worldwide, weltweit, globally",1,0.001154655985534191,0.001154655985534191,229,0.001154655985534191,"combined,question"," global,  worldwide,  globally,  weltweit, global",[229]
35,Everything / everything / enterOuterAlt,"Everything, everything, enterOuterAlt, Bronnen",1,0.0008175585046410561,0.0008175585046410561,383,0.0008175585046410561,"clar_vocab2,combined"," everything, enterOuterAlt,  Everything, Everything, Bronnen",[383]
46,December / month / June,"December, month, June, January",1,0.0005277185216546058,0.0005277185216546058,318,0.0005277185216546058,"combined,question"," December,  month,  June, December,  January",[318]
50,same / similar / other,"same, similar, other, another",1,0.0003071726895868778,0.0003071726895868778,480,0.0003071726895868778,"combined,question"," similar,  other,  same,  another, same",[480]
45,système / system / systeem,"système, system, systeem, ssystem, sistema",1,0.000234923692420125,0.000234923692420125,688,0.000234923692420125,"clar_vocab2,combined"," system,  système,  systeem,  sistema, ssystem",[688]
49,price / Price / priced,"price, Price, priced",1,0.0002120317332446575,0.0002120317332446575,565,0.0002120317332446575,clar_vocab2," price,  Price,  priced, price, Price",[565]
51,member / Member / members,"member, Member, members",1,9.022121783345938e-05,9.022121783345938e-05,493,9.022121783345938e-05,"combined,question"," member, member,  Member, Member,  members",[493]
37,now / Now / ahora,"now, Now, ahora",1,7.842666050419211e-05,7.842666050419211e-05,591,7.842666050419211e-05,"clar_vocab2,combined"," now,  Now, Now, now,  ahora",[591]
24,Philippine / Philippines / Filipinos,"Philippine, Philippines, Filipinos, Filipino",1,4.745042603462934e-05,4.745042603462934e-05,33,4.745042603462934e-05,"combined,question"," Philippine,  Philippines,  Filipino, Philippine,  Filipinos",[33]
53,Is / I / 1,"Is, I, 1",1,4.49463464319706e-05,4.49463464319706e-05,748,4.49463464319706e-05,"clar_vocab2,combined,question","I, 1, 
, 

, Is",[748]
30,Images / photographed / photo,"Images, photographed, photo, images",1,4.2676773853600025e-05,4.2676773853600025e-05,630,4.2676773853600025e-05,"clar_vocab2,combined"," images, photo,  photographed,  Images, Images",[630]
38,free / gratuite / gratis,"free, gratuite, gratis, FREE",1,3.500085440464318e-05,3.500085440464318e-05,113,3.500085440464318e-05,"combined,question"," free,  gratis, free,  FREE,  gratuite",[113]
54,Budget / budget / Budgets,"Budget, budget, Budgets, Budgeting",1,2.4572219699621198e-05,2.4572219699621198e-05,19,2.4572219699621198e-05,"clar_vocab2,combined"," Budgets,  Budget, Budget,  Budgeting,  budget",[19]
52,pesky / ongoing / Ongoing,"pesky, ongoing, Ongoing, Displayed",1,2.2506345994770524e-05,2.2506345994770524e-05,322,2.2506345994770524e-05,"combined,question"," ongoing,  Ongoing, 된, Displayed,  pesky",[322]
25,experienced / Experienced,"experienced, Experienced",1,2.1366644650697707e-05,2.1366644650697707e-05,152,2.1366644650697707e-05,combined," experienced, experienced, Experienced,  Experienced, 经验",[152]
26,wind / Wind / winds,"wind, Wind, winds",1,1.72607337590307e-05,1.72607337590307e-05,628,1.72607337590307e-05,clar_vocab2," wind,  Wind, Wind, wind,  winds",[628]
18,,,1,1.3389878440648318e-05,1.3389878440648318e-05,299,1.3389878440648318e-05,combined,"          ,               ,                          ,                         ,                           ",[299]
32,project / mitigation / mapStateToProps,"project, mitigation, mapStateToProps, decision, consultants",1,1.1427799006924033e-05,1.1427799006924033e-05,94,1.1427799006924033e-05,"combined,question"," mitigation, mapStateToProps,  decision,  consultants,  project",[94]
