feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
492,0.99999609375,0.99999609375,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.99999609375}","['<bos>', 'GEBURTSDATUM', 'expandindo', ' betweenstory', 'Autoritní']",0
505,0.9995078144073486,0.9995078144073486,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.9995078144073486, ""question"": 0.9995078144073486, ""combined"": 0.9995078144073486}","['<bos>', 'GEBURTSDATUM', 'expandindo', ' betweenstory', 'Autoritní']",0
103,0.9794883613586426,0.9794883613586426,question,"combined,question","{""question"": 0.9794883613586426, ""combined"": 0.9794883613586426}","['<bos>', ' fta', ' ftu', ' effe', ' desir']",0
231,0.36132671356201174,0.36132671356201174,question,"combined,question","{""question"": 0.36132671356201174, ""combined"": 0.36132671356201174}","[' you', ' your', ' please', ' youre', 'your']",0
811,0.0007570547237992286,0.0007570547237992286,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.0007570547237992286}","[' person', '<bos>', ' embodiment', ' talento', ' hero']",0
336,0.00023853276716545224,0.00023853276716545224,question,"combined,question","{""question"": 0.00023853276716545224, ""combined"": 0.00023853276716545224}","[' “', ' ""', ':""', ' «', '"":']",0
132,1.573534682393074e-07,1.573534682393074e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 1.573534682393074e-07, ""question"": 1.573534682393074e-07, ""combined"": 1.573534682393074e-07}","[' indestru', ' impra', ' intersper', ' unspeak', ' shenan']",0
79,1.5003886073827744e-07,1.5003886073827744e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 1.5003886073827744e-07}","[' Mónica', ' Darío', ' Alcalde', ' intersper', ' Haci']",0
744,4.68201469630003e-08,4.68201469630003e-08,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 4.68201469630003e-08, ""combined"": 4.68201469630003e-08}","[' shenan', ' unspeak', ' hoody', ' horrend', ' cushi']",0
379,4.68201469630003e-08,4.68201469630003e-08,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.68201469630003e-08}","[' shenan', ' unspeak', ' vainly', ' intersper', ' impelled']",0
557,0.24218560791015625,0.24218560791015625,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.24218560791015625, ""question"": 0.24218560791015625, ""combined"": 0.24218560791015625}","[' it', ' there', ' they', ' if', ' we']",1
439,0.020140972137451172,0.020140972137451172,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.020140972137451172}","['However', 'Therefore', 'But', 'Yet', ' antik']",1
375,0.0008619026839733123,0.0008619026839733123,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0008619026839733123, ""question"": 0.0008619026839733123, ""combined"": 0.0008619026839733123}","[' none', ' only', ' most', ' ones', ' one']",1
700,0.0006039662417024374,0.0006039662417024374,question,"combined,question","{""question"": 0.0006039662417024374, ""combined"": 0.0006039662417024374}","[' options', ' providers', ' brands', ' Options', 'options']",1
688,0.0005261485576629639,0.0005261485576629639,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0005261485576629639, ""question"": 0.0005261485576629639, ""combined"": 0.0005261485576629639}","[' strict', ' rigid', ' precision', ' uniform', ' disciplined']",1
791,0.0001290315594524145,0.0001290315594524145,question,"combined,question","{""question"": 0.0001290315594524145, ""combined"": 0.0001290315594524145}","[' should', ' needs', ' solutions', 'ควร', 'implementation']",1
165,2.2197475656867027e-05,2.2197475656867027e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.2197475656867027e-05, ""question"": 2.2197475656867027e-05, ""combined"": 2.2197475656867027e-05}","[' include', ' includes', ' Include', ' apprehen', ' INCLUDE']",1
540,6.514433771371841e-06,6.514433771371841e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 6.514433771371841e-06}","[' bill', ' legislation', ' tramit', ' proposed', ' praktik']",1
257,2.710660919547081e-07,2.710660919547081e-07,question,"combined,question","{""question"": 2.710660919547081e-07, ""combined"": 2.710660919547081e-07}","[' clergymen', ' hurtful', ' therefore', ' discriminatory', ' blatant']",1
133,1.049404963850975e-07,1.049404963850975e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 1.049404963850975e-07, ""question"": 1.049404963850975e-07, ""combined"": 1.049404963850975e-07}","[' Resistant', 'Și', 'polski', 'pentru', 'ladolid']",1
99,9.735999628901482e-08,9.735999628901482e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 9.735999628901482e-08, ""question"": 9.735999628901482e-08, ""combined"": 9.735999628901482e-08}","[' disreg', ' impra', ' softshell', ' miscon', ' loath']",1
798,9.735999628901482e-08,9.735999628901482e-08,question,"combined,question","{""question"": 9.735999628901482e-08, ""combined"": 9.735999628901482e-08}","[' cushi', ' unspeak', ' shenan', ' hairc', ' impra']",1
432,0.9736290092468262,0.9736290092468262,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.9736290092468262}","[' physical', 'physical', 'Physical', ' Physical', ' PHYSICAL']",2
538,0.0062747602909803395,0.0062747602909803395,question,"combined,question","{""question"": 0.0062747602909803395, ""combined"": 0.0062747602909803395}","[' wasn', ' seemed', ' was', ' resulted', ' reflects']",2
802,0.0010822047106921672,0.0010822047106921672,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.0010822047106921672}","[' Minnesota', 'Minnesota', ' Minneapolis', ' MINNESOTA', ' Minn']",2
724,0.0004999559856951237,0.0004999559856951237,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0004999559856951237, ""question"": 0.0004999559856951237, ""combined"": 0.0004999559856951237}","[' men', ' Men', ' MEN', 'Men', 'men']",2
709,0.0002503107087686658,0.0002503107087686658,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0002503107087686658, ""question"": 0.0002503107087686658, ""combined"": 0.0002503107087686658}","[' Sp', 'Sp', ' sp', 'sp', ' SP']",2
555,0.00015447617135941983,0.00015447617135941983,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.00015447617135941983, ""question"": 0.00015447617135941983, ""combined"": 0.00015447617135941983}","[' construction', ' Construction', 'construction', ' CONSTRUCTION', 'Construction']",2
285,0.00015149615611881017,0.00015149615611881017,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.00015149615611881017}","[' immigration', 'Immigration', ' Immigration', 'immigration', ' immigrants']",2
451,8.761426620185375e-05,8.761426620185375e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 8.761426620185375e-05, ""question"": 8.761426620185375e-05, ""combined"": 8.761426620185375e-05}","[' drone', ' drones', 'drone', 'Drone', ' Drone']",2
621,3.584007848985493e-05,3.584007848985493e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 3.584007848985493e-05, ""question"": 3.584007848985493e-05, ""combined"": 3.584007848985493e-05}","[' waiting', ' awaiting', ' idle', 'waiting', ' unused']",2
80,2.6880644727498294e-05,2.6880644727498294e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.6880644727498294e-05, ""question"": 2.6880644727498294e-05, ""combined"": 2.6880644727498294e-05}","[')', 'ropoda', 'JsonInclude', 'WireFormatLite', ' dAtA']",2
753,2.625191956758499e-05,2.625191956758499e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.625191956758499e-05, ""question"": 2.625191956758499e-05, ""combined"": 2.625191956758499e-05}","[' director', ' Director', 'director', ' directors', 'Director']",2
41,2.166700758971274e-05,2.166700758971274e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.166700758971274e-05, ""question"": 2.166700758971274e-05, ""combined"": 2.166700758971274e-05}","[' censorship', ' deletion', ' deleting', ' removals', ' removal']",2
669,7.881702622398734e-06,7.881702622398734e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 7.881702622398734e-06, ""question"": 7.881702622398734e-06, ""combined"": 7.881702622398734e-06}","[' CONS', ' Consensus', ' consensus', ' Consent', ' Cons']",2
575,6.929648574441671e-06,6.929648574441671e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 6.929648574441671e-06}","[' iPhone', 'iPhone', ' iphone', ' iPhones', 'iphone']",2
160,6.0994341038167474e-06,6.0994341038167474e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 6.0994341038167474e-06, ""question"": 6.0994341038167474e-06, ""combined"": 6.0994341038167474e-06}","[' facilities', ' amenities', ' సౌకర్య', ' locations', ' spaces']",2
162,5.803792737424373e-06,5.803792737424373e-06,question,"combined,question","{""question"": 5.803792737424373e-06, ""combined"": 5.803792737424373e-06}","[' protection', ' security', ' privacy', ' protections', 'protection']",2
530,4.441526485607028e-06,4.441526485607028e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.441526485607028e-06}","[' heights', ' Heights', ' height', ' rooftop', ' climbing']",2
135,1.8560816533863543e-06,1.8560816533863543e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 1.8560816533863543e-06}","[' footage', ' video', 'video', ' videos', ' filmed']",2
125,6.455685943365097e-07,6.455685943365097e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 6.455685943365097e-07, ""question"": 6.455685943365097e-07, ""combined"": 6.455685943365097e-07}","[' Side', ' side', 'side', 'Side', ' SIDE']",2
673,4.774269182235002e-07,4.774269182235002e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.774269182235002e-07}","[' referendum', ' voters', ' vote', ' Voters', ' electorate']",2
349,9.73767600953579e-08,9.73767600953579e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 9.73767600953579e-08, ""question"": 9.73767600953579e-08, ""combined"": 9.73767600953579e-08}","[' dum', 'dum', 'um', ' Pum', 'Dum']",2
408,4.6104192733764646e-08,4.6104192733764646e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 4.6104192733764646e-08, ""question"": 4.6104192733764646e-08, ""combined"": 4.6104192733764646e-08}","[' impra', ' disagre', ' hairc', ' indestru', ' affor']",2
261,0.00022018033824861049,0.00022018033824861049,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.00022018033824861049, ""question"": 0.00022018033824861049, ""combined"": 0.00022018033824861049}","[' welcome', 'welcome', ' Welcome', ' welcomed', ' WELCOME']",3
